;airport;departure;destination;total
481.0;LGRP;317.0;220.0;537.0
482.0;KLWM;316.0;274.0;590.0
483.0;KSTC;316.0;229.0;545.0
485.0;KFAY;316.0;194.0;510.0
486.0;EDJA;316.0;271.0;587.0
487.0;ESSB;316.0;257.0;573.0
489.0;LEAL;315.0;200.0;515.0
490.0;LFLB;314.0;245.0;559.0
491.0;KTHV;314.0;341.0;655.0
492.0;EDAZ;314.0;261.0;575.0
493.0;KJNX;314.0;194.0;508.0
494.0;ESGG;313.0;241.0;554.0
495.0;LKKL;313.0;228.0;541.0
497.0;EDRY;312.0;274.0;586.0
498.0;KLCK;311.0;245.0;556.0
500.0;LMML;310.0;273.0;583.0
501.0;EGLC;310.0;307.0;617.0
502.0;KAVQ;309.0;293.0;602.0
503.0;KSGS;308.0;398.0;706.0
504.0;LTFJ;308.0;217.0;525.0
505.0;EDDG;307.0;261.0;568.0
507.0;KF70;307.0;261.0;568.0
508.0;EHBK;306.0;266.0;572.0
509.0;EIWT;305.0;275.0;580.0
510.0;LROP;305.0;224.0;529.0
511.0;KSNS;305.0;431.0;736.0
512.0;KMLE;304.0;269.0;573.0
513.0;KRIV;304.0;197.0;501.0
514.0;KOUN;304.0;211.0;515.0
515.0;KPRC;304.0;258.0;562.0
516.0;KGSP;304.0;253.0;557.0
518.0;63PA;302.0;214.0;516.0
519.0;KLVJ;302.0;199.0;501.0
520.0;KX60;302.0;292.0;594.0
521.0;KDEC;300.0;232.0;532.0
524.0;OMDW;296.0;254.0;550.0
525.0;OA16;296.0;339.0;635.0
526.0;KZPH;295.0;248.0;543.0
527.0;KLHM;294.0;280.0;574.0
528.0;EDDC;294.0;265.0;559.0
529.0;K1T7;294.0;245.0;539.0
530.0;CL36;294.0;320.0;614.0
531.0;KTOA;293.0;232.0;525.0
533.0;24FL;292.0;218.0;510.0
535.0;EPGD;291.0;210.0;501.0
536.0;KLNC;291.0;257.0;548.0
537.0;EDMO;290.0;264.0;554.0
538.0;VIDP;290.0;214.0;504.0
540.0;TXKF;288.0;224.0;512.0
541.0;KSUU;288.0;212.0;500.0
542.0;KDCU;286.0;225.0;511.0
545.0;KBEH;284.0;232.0;516.0
546.0;KAUN;283.0;263.0;546.0
547.0;K47N;282.0;254.0;536.0
549.0;KDLL;282.0;226.0;508.0
550.0;LIPX;281.0;235.0;516.0
551.0;07KY;281.0;353.0;634.0
553.0;KMCF;281.0;429.0;710.0
555.0;EDKB;280.0;343.0;623.0
556.0;RKSI;279.0;233.0;512.0
558.0;71MI;279.0;266.0;545.0
565.0;KWHP;277.0;393.0;670.0
566.0;KRAC;277.0;315.0;592.0
567.0;EGHH;277.0;238.0;515.0
568.0;KLMO;277.0;242.0;519.0
569.0;KEVB;276.0;226.0;502.0
570.0;LPAR;276.0;225.0;501.0
573.0;0WI5;274.0;363.0;637.0
575.0;KTIK;273.0;306.0;579.0
576.0;EDVK;273.0;232.0;505.0
577.0;LFPN;273.0;229.0;502.0
580.0;KSKF;272.0;287.0;559.0
582.0;KCTY;271.0;250.0;521.0
585.0;LOWG;271.0;237.0;508.0
586.0;KSMQ;270.0;312.0;582.0
589.0;NY09;270.0;331.0;601.0
597.0;KFKL;267.0;234.0;501.0
599.0;KDVO;266.0;249.0;515.0
600.0;40FL;266.0;280.0;546.0
608.0;FL16;264.0;266.0;530.0
609.0;LSZA;264.0;237.0;501.0
612.0;6GA0;264.0;462.0;726.0
614.0;EDFC;264.0;239.0;503.0
617.0;KAEG;262.0;254.0;516.0
620.0;21FA;262.0;326.0;588.0
624.0;KTTD;261.0;328.0;589.0
627.0;K05C;258.0;266.0;524.0
647.0;9WI4;253.0;374.0;627.0
654.0;77TS;250.0;267.0;517.0
655.0;KCGS;250.0;338.0;588.0
657.0;AL72;249.0;405.0;654.0
660.0;KNFW;249.0;329.0;578.0
672.0;KUNU;245.0;258.0;503.0
685.0;LKVO;240.0;351.0;591.0
703.0;35MN;233.0;326.0;559.0
763.0;KX04;216.0;310.0;526.0
792.0;FL97;208.0;399.0;607.0
804.0;60CO;206.0;404.0;610.0
814.0;LTBW;204.0;303.0;507.0
829.0;57FA;201.0;367.0;568.0
831.0;FA18;200.0;308.0;508.0
903.0;1AZ2;187.0;363.0;550.0
980.0;FD38;172.0;500.0;672.0
1046.0;0GE0;164.0;366.0;530.0
1052.0;GA35;163.0;347.0;510.0
1101.0;TX05;157.0;674.0;831.0
1129.0;KRIR;154.0;409.0;563.0
1191.0;MD43;147.0;523.0;670.0
1621.0;KAKH;112.0;390.0;502.0
2382.0;4GE2;78.0;427.0;505.0
